"Top of Interval z(i) (cm)","Mid Depth zi (cm)","Inventory delta Ai dpm/cm^2","Inventory Uncertainty u(delta Ai) dpm/cm^2","Inventory Below A(i) dpm/cm^2","Inventory Below Uncertainty u(A(i)) dpm/cm^2","Age t(i) yr","Age Uncertainty u(t(i)) yr","Year CE","Mass Accumulation Rate r(i) g/(cm^2 yr)","Mass Accumulation Rate Uncertainty u(r(i)) g/(cm^2 yr)","Dry Bulk Density Section ri g/cm^3","Dry Bulk Density Section Uncertainty u(ri) g/cm^3","Dry Bulk Density Layer r(i) g/cm^3","Dry Bulk Density Layer Uncertainty u(r(i)) g/cm^3","Sediment Accumulation Rate s(i) cm/yr","Sediment Accumulation Rate Uncertainty U(s(i)) cm/yr"
0,,,,46.2837156988411,0.26735326859625,0,0,2021.59428503632,0.112389158764067,0.00874590481778072,,,0.221231361935345,0.0197664157943807,0.508016394153523,0.0601920778013448
,0.5,2.53032716518185,0.0589565290518197,,,,,,,,0.2261039229,0.00484595921113976,,,,
1,,,,43.7533885336592,0.260771735261436,1.80307390943628,0.0432764889809703,2019.79121112689,0.126362914050153,0.00132253241207617,,,0.25039610805,0.00324619275619757,0.504652069212356,0.00840834893126246
,1.5,2.85724252255184,0.0530019150014193,,,,,,,,0.2746882932,0.00432061904887806,,,,
2,,,,40.8961460111074,0.255328601839752,3.96893970330849,0.063403488853361,2017.62534533301,0.116100481947283,0.00122585063149989,,,0.27953306415,0.00316799303563556,0.415337206352742,0.006433345639875
,2.5,3.28880506472276,0.0609801180187718,,,,,,,,0.2843778351,0.00463432525075806,,,,
3,,,,37.6073409463846,0.2479397509958,6.65767129754873,0.0875549134997965,2014.93661373877,0.104241769830147,0.00111272634321864,,,0.28836613345,0.00328991986070793,0.361491027337376,0.00564789477063722
,3.5,3.19638070698818,0.0591791213974,,,,,,,,0.2923544318,0.00467090143652252,,,,
4,,,,34.4109602393965,0.240773652450784,9.50636025884814,0.111497539804184,2012.08792477747,0.0991378470153215,0.00109840349981871,,,0.29398707245,0.00329177675057779,0.337218389193567,0.00531190871547014
,4.5,3.16683939019242,0.0581771746404393,,,,,,,,0.2956197131,0.00463959658514291,,,,
5,,,,31.2441208492041,0.233639397502534,12.6026303555752,0.137152857381388,2008.99165468075,0.0948969913505453,0.00110135087263027,,,0.2951838729,0.00332469376101489,0.32148433590982,0.00519922290207417
,5.5,2.89427354560438,0.055647089504974,,,,,,,,0.2947480327,0.00476324447674645,,,,
6,,,,28.3498473035997,0.226915776214375,15.7202496143789,0.163374547117314,2005.87403542194,0.090620172894946,0.00110311742166038,,,0.29192607,0.00340090992136645,0.31042165194409,0.00523041239618614
,6.5,2.80136752699573,0.0555705343253099,,,,,,,,0.2891041073,0.00485553861355663,,,,
7,,,,25.5484797766039,0.220006102664839,19.0570507812489,0.192276869667208,2002.53723425507,0.0876313646874006,0.00113107487931648,,,0.28591091655,0.00344212651559253,0.306498841474196,0.00540982979093385
,7.5,2.40065032330628,0.0505320521799421,,,,,,,,0.2827177258,0.00488023406914475,,,,
8,,,,23.1478294532977,0.21412425577747,22.2217253288335,0.220649492313945,1999.37255970749,0.098891932651342,0.00144297676580762,,,0.2831167599,0.00345463740260193,0.349297345329438,0.00664402909495024
,8.5,1.73107016878981,0.0416263804217817,,,,,,,,0.283515794,0.00489095019031923,,,,
9,,,,21.4167592845078,0.210039142459772,24.7145247763346,0.24391164176601,1996.87976025999,0.108969889199387,0.00177260948389905,,,0.2737648979,0.00345075191540395,0.398041860133548,0.00819130283299905
,9.5,1.62386601029823,0.0403261742362024,,,,,,,,0.2640140018,0.0048692259510596,,,,
10,,,,19.7928932742096,0.206131610959377,27.2433578994963,0.26849775935776,1994.35092713683,0.103655364058545,0.00175041493176975,,,0.2666112665,0.00344764175616916,0.388788386249779,0.00826928405138497
,10.5,1.54987993808252,0.0393479867385346,,,,,,,,0.2692085312,0.00488216891893884,,,,
11,,,,18.2430133361271,0.202341238941379,29.8584610262618,0.295099721952248,1991.73582401006,0.110803764108834,0.00207487208857079,,,0.26118575845,0.00347886962183272,0.424233559924539,0.00974869438276678
,11.5,1.14180815302093,0.0342115269480051,,,,,,,,0.2531629857,0.00495727364887089,,,,
12,,,,17.1012051831062,0.199428053192669,31.9313207051806,0.317084195083349,1989.66296433114,0.118848113001996,0.00245012386041799,,,0.2612361705,0.00352574881422009,0.454945089627225,0.0112100854226765
,12.5,1.20195278075616,0.0354929742811752,,,,,,,,0.2693093553,0.00501488352547771,,,,
13,,,,15.89925240235,0.196244228391293,34.268562238705,0.342900713896228,1987.32572279762,0.102990070861446,0.0020784000458868,,,0.2694781533,0.00340068365986018,0.382183377762689,0.00909651228493525
,13.5,1.39246976704838,0.036381887590391,,,,,,,,0.2696469513,0.00459451201365851,,,,
14,,,,14.5067826353016,0.192842307163791,37.2080649554143,0.377467538191435,1984.38622008091,0.0857430539326567,0.00170155375515713,,,0.27210445545,0.00312986351340521,0.315110804749069,0.00722780714011033
,14.5,1.47901562328898,0.0362377789094356,,,,,,,,0.2745619596,0.00425142820785304,,,,
15,,,,13.0277670120126,0.189406913316185,40.6567774707589,0.421313595796926,1980.93750756556,0.0781651465721774,0.00162877273810341,,,0.2709876729,0.00319145111175286,0.288445395820724,0.00690406660103683
,15.5,1.33892394061217,0.0362822363578692,,,,,,,,0.2674133862,0.00476096618222665,,,,
16,,,,11.6888430714005,0.185899376375599,44.1348317176282,0.468865296196785,1977.45945331869,0.0783053945286824,0.00179171790213476,,,0.26879636765,0.00347597348868999,0.291318648437407,0.00765660653781443
,16.5,1.16228495772007,0.0351942731416637,,,,,,,,0.2701793491,0.00506584324550184,,,,
17,,,,10.5265581136804,0.182537506488027,47.4937480383392,0.518313628715033,1974.10053699798,0.0847898905520759,0.00220930915439025,,,0.27081262015,0.0035848523572581,0.31309431039481,0.00915048986632117
,17.5,0.933825487969333,0.0327954824330466,,,,,,,,0.2714458912,0.00507364739663284,,,,
18,,,,9.59273262571106,0.179567250930815,50.473013572951,0.565302727713094,1971.12127146337,0.088573604716124,0.00256445395276099,,,0.2716829012,0.00351989777219553,0.326018326235851,0.0103411047546205
,18.5,0.901061093222948,0.0321731091913716,,,,,,,,0.2719199112,0.00488024829301431,,,,
