"Top of Interval z(i) (cm)","Mid Depth zi (cm)","Mass Depth Section mi gcm^-2","Cumulative Mass Depth Layer m(i) gcm^-2","CF Age (CE)","CFCS Age (CE)"
0,,,0,2021.59428503632,
,0.5,0.11305196145,,,2021.59428503632
1,,,0.2261039229,2019.79121112689,
,1.5,0.3634480695,,,2019.29485302065
2,,,0.5007922161,2017.62534533301,
,2.5,0.64298113365,,,2016.99542100498
3,,,0.7851700512,2014.93661373877,
,3.5,0.9313472671,,,2014.69598898931
4,,,1.077524483,2012.08792477747,
,4.5,1.22533433955,,,2012.39655697364
5,,,1.3731441961,2008.99165468075,
,5.5,1.52051821245,,,2010.09712495797
6,,,1.6678922288,2005.87403542194,
,6.5,1.81244428245,,,2007.7976929423
7,,,1.9569963361,2002.53723425507,
,7.5,2.098355199,,,2005.49826092663
8,,,2.2397140619,1999.37255970749,
,8.5,2.3814719589,,,2003.19882891096
9,,,2.5232298559,1996.87976025999,
,9.5,2.6552368568,,,2000.89939689529
10,,,2.7872438577,1994.35092713683,
,10.5,2.9218481233,,,1998.59996487962
11,,,3.0564523889,1991.73582401006,
,11.5,3.18303388175,,,1996.30053286395
12,,,3.3096153746,1989.66296433114,
,12.5,3.44427005225,,,1994.00110084828
13,,,3.5789247299,1987.32572279762,
,13.5,3.71374820555,,,1991.70166883261
14,,,3.8485716812,1984.38622008091,
,14.5,3.985852661,,,1989.40223681694
15,,,4.1231336408,1980.93750756556,
,15.5,4.2568403339,,,1987.10280480127
16,,,4.390547027,1977.45945331869,
,16.5,4.52563670155,,,1984.8033727856
17,,,4.6607263761,1974.10053699798,
,17.5,4.7964493217,,,1982.50394076993
18,,,4.9321722673,1971.12127146337,
,18.5,5.0681322229,,,1980.20450875426
19,,,5.2040921785,1967.9577603701,
,19.5,5.3380710946,,,1977.90507673859
20,,,5.4720500107,1964.54830663654,
,20.5,5.63482017165,,,1975.60564472292
21,,,5.7975903326,1961.21635749757,
,21.5,5.9607994088,,,1973.30621270725
22,,,6.124008485,1957.63430433936,
,22.5,6.29045183145,,,1971.00678069158
23,,,6.4568951779,1953.06878028897,
,23.5,6.6224317174,,,1968.70734867591
24,,,6.7879682569,1946.83973748785,
,24.5,6.93889099655,,,1966.40791666024
25,,,7.0898137362,1941.76672653369,
,25.5,7.24648288455,,,1964.10848464457
26,,,7.4031520329,1935.61536739248,
,26.5,7.55349265405,,,1961.8090526289
27,,,7.7038332752,1928.61014349015,
,27.5,7.85969586055,,,1952.87570477617
28,,,8.0155584459,1919.74502254727,
,28.5,8.1673303279,,,1943.94235692344
29,,,8.3191022099,1912.60977083839,
,29.5,8.482568437,,,1935.00900907071
30,,,8.6460346641,1903.85920057132,
,30.5,8.8118726478,,,1926.07566121798
31,,,8.9777106315,1892.77988625781,
,31.5,9.1283870904,,,1917.14231336525
32,,,9.2790635493,1884.03046359964,
,32.5,9.43125725975,,,1908.20896551252
33,,,9.5834509702,1873.87082541034,
,33.5,9.7299205508,,,1899.27561765979
34,,,9.8763901314,1865.94482767427,
,34.5,10.02816742325,,,1890.34226980706
35,,,10.1799447151,,
