"Mid Depth zi (cm)","Total Pb-210 dmp/g","Total Pb-210 Uncertainty u(Pb-210) dmp/g","Supported Pb-210 dmp/g","Supported Pb-210 Uncertainty u(sPb-210) dmp/g","Excess Pb-210 Ci dmp/g","Excess Pb-210 Uncertainty u(Ci) dmp/g","Excess Pb-210 C(i) dmp/g","Excess Pb-210 Uncertainty u(C(i)) dmp/g","Inventory delta Ai dpm/cm^2","Inventory Uncertainty u(delta Ai) dpm/cm^2","Mass Depth mi (g/cm^2)","ln(Ci)","u(ln(Ci))"
,,,,,,,13.105001527027,0.977682052741629,,,,,
0.5,11.8909918798753,0.072182090464957,0.414199268595485,0.149578089494062,11.4767926112798,0.166083891574664,,,2.5949478317201,0.0671067530094427,0.11305196145,2.44032696259363,0.0144712810625706
,,,,,,,11.0821781673575,0.117439046088408,,,,,
1.5,11.1017629920307,0.0721820911815587,0.414199268595485,0.149578089494062,10.6875637234352,0.166083891886108,,,2.93574863765666,0.0649123130541664,0.3634480695,2.36908079667179,0.0155399206202557
,,,,,,,11.2691389782533,0.117439045809573,,,,,
2.5,12.2649135016668,0.0721820886503158,0.414199268595485,0.149578089494062,11.8507142330713,0.166083890785999,,,3.37008045798958,0.0724357707596035,0.64298113365,2.47238813859783,0.0140146735057129
,,,,,,,11.5348766939057,0.117439045584134,,,,,
3.5,11.6332384233355,0.0721820897144183,0.414199268595485,0.149578089494062,11.21903915474,0.166083891248471,,,3.27993581742597,0.0714401868036149,0.9313472671,2.41761225959507,0.0148037535975887
,,,,,,,11.1086922920701,0.11743904589962,,,,,
4.5,11.4125446979957,0.0721820907034762,0.414199268595485,0.149578089494062,10.9983454294002,0.166083891678327,,,3.25132772041399,0.0708126159310132,1.22533433955,2.39774484597575,0.0151008070026934
,,,,,,,10.5518150031758,0.117439046714468,,,,,
5.5,10.5194838455469,0.0721820950173946,0.414199268595485,0.149578089494062,10.1052845769514,0.166083893553209,,,2.97851274893008,0.0686532065998904,1.52051821245,2.31305851245325,0.0164353504632636
,,,,,,,10.0404539789569,0.117439047671474,,,,,
6.5,10.3898226495578,0.0721820969316068,0.414199268595485,0.149578089494062,9.97562338096231,0.166083894385149,,,2.88399369231412,0.0682029108176002,1.81244428245,2.3001444551553,0.0166489740081915
,,,,,,,9.37637850053744,0.11743904939605,,,,,
7.5,9.19133288870805,0.0721821062408162,0.414199268595485,0.149578089494062,8.77713362011256,0.166083898431046,,,2.48145125612095,0.0635574589878213,2.098355199,2.17214988738752,0.0189223390709775
,,,,,,,7.58433090579435,0.117439052904545,,,,,
8.5,6.80572746007163,0.0721821197646495,0.414199268595485,0.149578089494062,6.39152819147614,0.166083904308671,,,1.81209919007974,0.0565194848741951,2.3814719589,1.85497339339242,0.0259850069237218
,,,,,,,6.41400516160586,0.117439055336616,,,,,
9.5,6.85068140033106,0.0721821220685674,0.414199268595485,0.149578089494062,6.43648213173558,0.166083905309982,,,1.6993214051137,0.0538973791336352,2.6552368568,1.86198213802974,0.0258035215371907
,,,,,,,6.2397276546253,0.117439057384913,,,,,
10.5,6.45717244611051,0.0721821330948247,0.414199268595485,0.149578089494062,6.04297317751502,0.16608391010213,,,1.62681993319982,0.0535677891871035,2.9218481233,1.7988961387654,0.0274838072623097
,,,,,,,5.41947205282795,0.117439066847999,,,,,
11.5,5.21017019673636,0.0721821836536455,0.414199268595485,0.149578089494062,4.79597092814087,0.166083932075629,,,1.21416231949854,0.0483025825049105,3.18303388175,1.56777617545817,0.0346298871623916
,,,,,,,4.77243248253794,0.117439079667318,,,,,
12.5,5.1630933055305,0.0721822165220112,0.414199268595485,0.149578089494062,4.74889403693501,0.16608394636064,,,1.27892159147498,0.0506729892960363,3.44427005225,1.55791175660696,0.0349731842969974
,,,,,,,5.09937132387152,0.117439080216939,,,,,
13.5,5.8640478794035,0.0721821872305423,0.414199268595485,0.149578089494062,5.44984861080802,0.166083933630194,,,1.46953506295092,0.0513086768004823,3.71374820555,1.69558783045595,0.0304749627908599
,,,,,,,5.56123424875444,0.117439078069857,,,,,
14.5,6.08681915529634,0.0721822025489655,0.414199268595485,0.149578089494062,5.67261988670086,0.166083940287776,,,1.55748563215852,0.0515849518060219,3.985852661,1.73565107216882,0.0292781719214344
,,,,,,,5.48268247931042,0.117439082025022,,,,,
15.5,5.70694434051547,0.072182212970454,0.414199268595485,0.149578089494062,5.29274507191998,0.166083944817088,,,1.41535088197549,0.0510635803947062,4.2568403339,1.66633702846639,0.0313795473918111
,,,,,,,4.94022367120068,0.117439083533232,,,,,
16.5,5.00190153907686,0.0721822123642827,0.414199268595485,0.149578089494062,4.58770227048137,0.166083944553638,,,1.23950241330325,0.0505337662994537,4.52563670155,1.52337930406675,0.0362019884381493
,,,,,,,4.15684658847789,0.117439099620298,,,,,
17.5,4.1401901750699,0.0721823176637875,0.414199268595485,0.149578089494062,3.72599090647442,0.16608399031818,,,1.01140492221104,0.0488859422345736,4.7964493217,1.31533283161668,0.0445744486465565
,,,,,,,3.66274597243964,0.117439120399315,,,,,
18.5,4.01370030700035,0.072182347592445,0.414199268595485,0.149578089494062,3.59950103840486,0.166084003325576,,,0.978776002727359,0.0484576706160339,5.0681322229,1.28079523541304,0.0461408405091549
,,,,,,,3.57832732391859,0.117439126475672,,,,,
19.5,3.97135287802779,0.072182357208197,0.414199268595485,0.149578089494062,3.55715360943231,0.166084007504712,,,0.953167169985886,0.0476345238835657,5.3380710946,1.26896067714275,0.0466901421024711
,,,,,,,3.10593256801403,0.117439192191454,,,,,
20.5,3.06891079519123,0.0721827752639522,0.414199268595485,0.149578089494062,2.65471152659575,0.166084189197828,,,0.864215644919619,0.0555495951560428,5.63482017165,0.976335995907792,0.0625620477155213
,,,,,,,2.61050569417815,0.117439267675863,,,,,
21.5,2.98049913035604,0.0721828484529288,0.414199268595485,0.149578089494062,2.56629986176056,0.16608422100691,,,0.837686859380256,0.0555536205380708,5.9607994088,0.942465118976397,0.0647173868812708
,,,,,,,2.68153570052565,0.117439254672468,,,,,
22.5,3.21097080788623,0.0721826906393329,0.414199268595485,0.149578089494062,2.79677153929075,0.166084152418668,,,0.931008028511339,0.0568243664539992,6.29045183145,1.02846573025837,0.0593842400372774
,,,,,,,2.99789441602651,0.117439205542446,,,,,
23.5,3.61321656135775,0.0721825287202038,0.414199268595485,0.149578089494062,3.19901729276227,0.166084082046223,,,1.05910850488905,0.0568837023665109,6.6224317174,1.16284366663025,0.0519172192104076
,,,,,,,2.83277602327612,0.117439246804056,,,,,
24.5,2.88073402238545,0.072182959164791,0.414199268595485,0.149578089494062,2.46653475378996,0.166084269124079,,,0.744512364967839,0.051398721312917,6.93889099655,0.902814231918747,0.0673350614131349
,,,,,,,2.44587267138054,0.117439307477518,,,,,
25.5,2.83940985756661,0.0721829235763061,0.414199268595485,0.149578089494062,2.42521058897113,0.16608425365674,,,0.759911355087016,0.0532868244216359,7.24648288455,0.885918361431836,0.0684824049556867
,,,,,,,2.39002572579112,0.117439339665292,,,,,
26.5,2.7690401312066,0.0721831686383316,0.414199268595485,0.149578089494062,2.35484086261112,0.166084360164837,,,0.708056475988714,0.0512644021400951,7.55349265405,0.856473150922342,0.0705289103827925
,,,,,,,2.30750860054522,0.117439394955973,,,,,
27.5,2.6743756070748,0.0721832834002689,0.414199268595485,0.149578089494062,2.26017633847932,0.166084410042415,,,0.704553854924565,0.0530882573862549,7.85969586055,0.815442836116137,0.0734829434388998
,,,,,,,1.90810463371716,0.117439805411031,,,,,
28.5,1.97023219755049,0.072185839775488,0.414199268595485,0.149578089494062,1.55603292895501,0.1660855211052,,,0.472324092162947,0.0510509083195578,8.1673303279,0.44213958809976,0.106736507958568
,,,,,,,1.4860289780234,0.11744031248379,,,,,
29.5,1.83022429568727,0.0721865832941371,0.414199268595485,0.149578089494062,1.41602502709179,0.166085844262462,,,0.462944537315739,0.0547550950410529,8.482568437,0.347853669615184,0.117290189851777
,,,,,,,1.3695959088928,0.117443281416337,,,,,
30.5,1.73736605928929,0.0722051582525746,0.414199268595485,0.149578089494062,1.32316679069381,0.166093918416578,,,0.438862625334921,0.0555033768397851,8.8118726478,0.280027947250001,0.125527574894384
,,,,,,,1.1348070287626,0.11744472050304,,,,,
31.5,1.36064653542687,0.0721959479782816,0.414199268595485,0.149578089494062,0.946447266831385,0.166089914688329,,,0.285214645403473,0.0502718651479643,9.1283870904,-0.0550400237449663,0.175487764093167
,,,,,,,0.89921469860601,0.117445055066157,,,,,
32.5,1.26618139897612,0.0722073349466701,0.414199268595485,0.149578089494062,0.851982130380635,0.166094864691218,,,0.259332643319449,0.0507479357880284,9.43125725975,-0.160189726104422,0.194951113137799
,,,,,,,0.7417084457598,0.117452057039723,,,,,
33.5,1.04563402973445,0.0722414969249807,0.414199268595485,0.149578089494062,0.631434761138965,0.166109718965073,,,0.184971969280571,0.0487718631096128,9.7299205508,-0.459760650304985,0.263067111898383
,,,,,,,0.585428005624009,0.117459570386438,,,,,
34.5,0.953620518704537,0.0722562046478848,0.414199268595485,0.149578089494062,0.539421250109052,0.166116115915376,,,0.163743793015787,0.0505049371582687,10.02816742325,-0.617258473225561,0.307952487748291
