"Top of Interval z(i) (cm)","Mid Depth zi (cm)","Inventory delta Ai dpm/cm^2","Inventory Uncertainty u(delta Ai) dpm/cm^2","Inventory Below A(i) dpm/cm^2","Inventory Below Uncertainty u(A(i)) dpm/cm^2","Age t(i) yr","Age Uncertainty u(t(i)) yr","Year CE","Mass Accumulation Rate r(i) g/(cm^2 yr)","Mass Accumulation Rate Uncertainty u(r(i)) g/(cm^2 yr)","Dry Bulk Density Section ri g/cm^3","Dry Bulk Density Section Uncertainty u(ri) g/cm^3","Dry Bulk Density Layer r(i) g/cm^3","Dry Bulk Density Layer Uncertainty u(r(i)) g/cm^3","Sediment Accumulation Rate s(i) cm/yr","Sediment Accumulation Rate Uncertainty U(s(i)) cm/yr"
0,,,,49.7704523385048,0.429674207589403,0,0,2021.59428503632,0.118418760318384,0.00891638025989969,,,0.221231361935345,0.0197664157943807,0.535271126491515,0.0625427610923843
,0.5,2.5949478317201,0.0671067530094427,,,,,,,,0.2261039229,0.00484595921113976,,,,
1,,,,47.1755045067847,0.424401470742163,1.71730201311976,0.0467131699128965,2019.8769830232,0.13273254563328,0.00197931945826967,,,0.25039610805,0.00324619275619757,0.530090290408091,0.010474370101565
,1.5,2.93574863765666,0.0649123130541664,,,,,,,,0.2746882932,0.00432061904887806,,,,
2,,,,44.239755869128,0.419407915974495,3.77790124094208,0.0719509221917863,2017.81638379538,0.122407487868867,0.00184677112232208,,,0.27953306415,0.00316799303563556,0.437899853604375,0.00826297875864329
,2.5,3.37008045798958,0.0724357707596035,,,,,,,,0.2843778351,0.00463432525075806,,,,
3,,,,40.8696754111384,0.413105384976438,6.31907120217438,0.101600499110501,2015.27521383415,0.110477599853716,0.00169346614495038,,,0.28836613345,0.00328991986070793,0.383115723514295,0.00732069022794369
,3.5,3.27993581742597,0.0714401868036149,,,,,,,,0.2923544318,0.00467090143652252,,,,
4,,,,37.5897395937124,0.406881258853238,9.00205134859911,0.132275869501415,2012.59223368772,0.105509697613144,0.00169495859987597,,,0.29398707245,0.00329177675057779,0.358892303439936,0.00702770007555837
,4.5,3.25132772041399,0.0708126159310132,,,,,,,,0.2956197131,0.00463959658514291,,,,
5,,,,34.3384118732985,0.400671851058946,11.9034132196322,0.166106945361445,2009.69087181669,0.101470321260096,0.00172547521958535,,,0.2951838729,0.00332469376101489,0.343752930209947,0.00701137027483899
,5.5,2.97851274893008,0.0686532065998904,,,,,,,,0.2947480327,0.00476324447674645,,,,
6,,,,31.3598991243684,0.394746335580909,14.8133735393775,0.201620565499862,2006.78091149695,0.0973884167399345,0.00175406733070907,,,0.29192607,0.00340090992136645,0.333606439260236,0.00715597871934691
,6.5,2.88399369231412,0.0682029108176002,,,,,,,,0.2891041073,0.00485553861355663,,,,
7,,,,28.4759054320543,0.388809763779874,17.9073272336643,0.241526439990898,2003.68695780266,0.0946952968785864,0.00182751240483089,,,0.28591091655,0.00344212651559253,0.331205600755808,0.00753365538509667
,7.5,2.48145125612095,0.0635574589878213,,,,,,,,0.2827177258,0.00488023406914475,,,,
8,,,,25.9944541759333,0.383579824570549,20.8314137051535,0.281640185319565,2000.76287133117,0.106868429678454,0.00235754076408228,,,0.2831167599,0.00345463740260193,0.37747122323737,0.0095160638338006
,8.5,1.81209919007974,0.0565194848741951,,,,,,,,0.283515794,0.00489095019031923,,,,
9,,,,24.1823549858536,0.379392975221114,23.1488715253748,0.315316832886439,1998.44541351095,0.117558838191123,0.00290474393025207,,,0.2737648979,0.00345075191540395,0.429415308875957,0.0119112125299944
,9.5,1.6993214051137,0.0538973791336352,,,,,,,,0.2640140018,0.0048692259510596,,,,
10,,,,22.4830335807399,0.375545073419495,25.4856455438147,0.351123307801511,1996.10863949251,0.112350568171098,0.00289154445470744,,,0.2666112665,0.00344764175616916,0.42140217720731,0.0121375727352896
,10.5,1.62681993319982,0.0535677891871035,,,,,,,,0.2692085312,0.00488216891893884,,,,
11,,,,20.8562136475401,0.37170498265595,27.8944759221235,0.390162990736073,1993.6998091142,0.119995368650702,0.00342849787577176,,,0.26118575845,0.00347886962183272,0.459425388898733,0.0144829378051831
,11.5,1.21416231949854,0.0483025825049105,,,,,,,,0.2531629857,0.00495727364887089,,,,
12,,,,19.6420513280415,0.368553191079139,29.8180747382577,0.422923829777343,1991.77621029807,0.128331433935345,0.00403122448248792,,,0.2612361705,0.00352574881422009,0.491246804336939,0.0167953581602135
,12.5,1.27892159147498,0.0506729892960363,,,,,,,,0.2693093553,0.00501488352547771,,,,
13,,,,18.3631297365665,0.365053013698586,31.9773555422174,0.461509182157225,1989.61692949411,0.112283531513866,0.00346941021279363,,,0.2694781533,0.00340068365986018,0.416670257454468,0.0139069221534612
,13.5,1.46953506295092,0.0513086768004823,,,,,,,,0.2696469513,0.00459451201365851,,,,
14,,,,16.8935946736156,0.361429277308028,34.6524164776292,0.512679274420312,1986.94186855869,0.0947189509974766,0.00289289881858482,,,0.27210445545,0.00312986351340521,0.348097758417195,0.0113605530686558
,14.5,1.55748563215852,0.0515849518060219,,,,,,,,0.2745619596,0.00425142820785304,,,,
15,,,,15.3361090414571,0.357729108743717,37.7544760904871,0.57701125902284,1983.83980894584,0.0872183950947816,0.00280194507689663,,,0.2709876729,0.00319145111175286,0.321853736597705,0.0110126467961329
,15.5,1.41535088197549,0.0510635803947062,,,,,,,,0.2674133862,0.00476096618222665,,,,
16,,,,13.9207581594816,0.354065849807416,40.8598895772416,0.646897443472685,1980.73439545908,0.0878622407251394,0.00309539071741828,,,0.26879636765,0.00347597348868999,0.326872872179378,0.0122670253684053
,16.5,1.23950241330325,0.0505337662994537,,,,,,,,0.2701793491,0.00506584324550184,,,,
