"Top of Interval z(i) (cm)","Mid Depth zi (cm)","Mass Depth Section mi gcm^-2","Cumulative Mass Depth Layer m(i) gcm^-2","CF Age (CE)","CFCS Age (CE)"
0,,,0,2021.59428503632,
,0.5,0.11305196145,,,2021.59428503632
1,,,0.2261039229,2019.8769830232,
,1.5,0.3634480695,,,2019.43411924955
2,,,0.5007922161,2017.81638379538,
,2.5,0.64298113365,,,2017.27395346278
3,,,0.7851700512,2015.27521383415,
,3.5,0.9313472671,,,2015.11378767601
4,,,1.077524483,2012.59223368772,
,4.5,1.22533433955,,,2012.95362188924
5,,,1.3731441961,2009.69087181669,
,5.5,1.52051821245,,,2010.79345610247
6,,,1.6678922288,2006.78091149695,
,6.5,1.81244428245,,,2008.6332903157
7,,,1.9569963361,2003.68695780266,
,7.5,2.098355199,,,2006.47312452893
8,,,2.2397140619,2000.76287133117,
,8.5,2.3814719589,,,2004.31295874216
9,,,2.5232298559,1998.44541351095,
,9.5,2.6552368568,,,2002.15279295539
10,,,2.7872438577,1996.10863949251,
,10.5,2.9218481233,,,1999.99262716862
11,,,3.0564523889,1993.6998091142,
,11.5,3.18303388175,,,1997.83246138185
12,,,3.3096153746,1991.77621029807,
,12.5,3.44427005225,,,1995.67229559508
13,,,3.5789247299,1989.61692949411,
,13.5,3.71374820555,,,1993.51212980831
14,,,3.8485716812,1986.94186855869,
,14.5,3.985852661,,,1991.35196402154
15,,,4.1231336408,1983.83980894584,
,15.5,4.2568403339,,,1989.19179823477
16,,,4.390547027,1980.73439545908,
,16.5,4.52563670155,,,1987.031632448
17,,,4.6607263761,1977.74356742611,
,17.5,4.7964493217,,,1984.87146666123
18,,,4.9321722673,1975.07793490227,
,18.5,5.0681322229,,,1982.71130087446
19,,,5.2040921785,1972.26852488032,
,19.5,5.3380710946,,,1980.55113508769
20,,,5.4720500107,1969.27362866005,
,20.5,5.63482017165,,,1978.39096930092
21,,,5.7975903326,1966.29308941599,
,21.5,5.9607994088,,,1976.23080351415
22,,,6.124008485,1963.11295471461,
,22.5,6.29045183145,,,1974.07063772738
23,,,6.4568951779,1959.16391917485,
,23.5,6.6224317174,,,1971.91047194061
24,,,6.7879682569,1953.98700422983,
,24.5,6.93889099655,,,1969.75030615384
25,,,7.0898137362,1949.77247488944,
,25.5,7.24648288455,,,1967.59014036707
26,,,7.4031520329,1944.81053421422,
,26.5,7.55349265405,,,1965.4299745803
27,,,7.7038332752,1939.37463199266,
,27.5,7.85969586055,,,1959.16938506977
28,,,8.0155584459,1932.8613950792,
,28.5,8.1673303279,,,1952.90879555923
29,,,8.3191022099,1927.61308460794,
,29.5,8.482568437,,,1946.6482060487
30,,,8.6460346641,1921.47200184778,
,30.5,8.8118726478,,,1940.38761653816
31,,,8.9777106315,1914.3128822225,
,31.5,9.1283870904,,,1934.12702702763
32,,,9.2790635493,1908.62400970587,
,32.5,9.43125725975,,,1927.86643751709
33,,,9.5834509702,1902.39700964454,
,33.5,9.7299205508,,,1921.60584800656
34,,,9.8763901314,1897.07724129256,
,34.5,10.02816742325,,,1915.34525849603
35,,,10.1799447151,,
