"Mid Depth zi (cm)","Total Pb-210 dmp/g","Total Pb-210 Uncertainty u(Pb-210) dmp/g","Supported Pb-210 dmp/g","Supported Pb-210 Uncertainty u(sPb-210) dmp/g","Excess Pb-210 Ci dmp/g","Excess Pb-210 Uncertainty u(Ci) dmp/g","Excess Pb-210 C(i) dmp/g","Excess Pb-210 Uncertainty u(C(i)) dmp/g","Inventory delta Ai dpm/cm^2","Inventory Uncertainty u(delta Ai) dpm/cm^2","Mass Depth mi (g/cm^2)","ln(Ci)","u(ln(Ci))"
,,,,,,,12.7559021360187,1.06560749344763,,,,,
0.5,11.8909918798753,0.072182090464957,0.7,0.0724706193230163,11.1909918798753,0.102285115480957,,,2.53032716518185,0.0589565290518197,0.11305196145,2.41510915824143,0.00913995082642282
,,,,,,,10.796377435953,0.0723264989498268,,,,,
1.5,11.1017629920307,0.0721820911815587,0.7,0.0724706193230163,10.4017629920307,0.10228511598666,,,2.85724252255184,0.0530019150014193,0.3634480695,2.34197531024519,0.00983344035669964
,,,,,,,10.5330786020135,0.295764651693307,,,,,
2.5,11.3643942119963,0.580360815769051,0.7,0.0512444663600936,10.6643942119963,0.582618804891027,,,3.02358357722231,0.168633117743483,0.64255289735,2.36691054880947,0.0546321519356103
,,,,,,,10.7988163176659,0.295764651603792,,,,,
3.5,11.6332384233355,0.0721820897144183,0.7,0.0724706193230163,10.9332384233355,0.102285114951306,,,3.19638070698818,0.0591791213974,0.9304907945,2.39180754589183,0.00935542709221381
,,,,,,,10.8228915606656,0.0723264986432847,,,,,
4.5,11.4125446979957,0.0721820907034762,0.7,0.0724706193230163,10.7125446979957,0.102285115649279,,,3.16683939019242,0.0581771746404393,1.22447786695,2.37141545642354,0.00954816232117253
,,,,,,,10.2660142717713,0.0723264999663818,,,,,
5.5,10.5194838455469,0.0721820950173946,0.7,0.0724706193230163,9.8194838455469,0.10228511869359,,,2.89427354560438,0.055647089504974,1.51966173985,2.2843685594317,0.0104165473768741
,,,,,,,9.75465324755235,0.0723265015203057,,,,,
6.5,10.3898226495578,0.0721820969316068,0.7,0.0724706193230163,9.6898226495578,0.10228512004444,,,2.80136752699573,0.0555705343253099,1.81158780985,2.27107612331597,0.0105559331417802
,,,,,,,9.09057776913293,0.0723265043205591,,,,,
7.5,9.19133288870805,0.0721821062408162,0.7,0.0724706193230163,8.49133288870805,0.102285126613902,,,2.40065032330628,0.0505320521799421,2.0974987264,2.13904598313721,0.0120458269572641
,,,,,,,7.29853017438984,0.0723265100174233,,,,,
8.5,6.80572746007163,0.0721821197646495,0.7,0.0724706193230163,6.10572746007163,0.102285136157605,,,1.73107016878981,0.0416263804217817,2.3806154863,1.8092272585428,0.0167523258819687
,,,,,,,5.87866569318997,0.184803717486278,,,,,
9.5,6.35160392630832,0.350520916269699,0.7,0.0572930551259353,5.65160392630832,0.35517236225277,,,1.58224668335688,0.101820517183857,2.6623554754625,1.73193938563436,0.0628445246489119
,,,,,,,5.43969323512927,0.236552749647634,,,,,
10.5,5.92778254395022,0.308310575917664,0.7,0.0512444663600936,5.22778254395022,0.312540247896511,,,1.44502483268361,0.0883091831803664,2.94054385495,1.65398720039618,0.0597844775043663
,,,,,,,5.0300119476376,0.229419348973884,,,,,
11.5,5.53224135132497,0.331012159917922,0.7,0.0572930551259353,4.83224135132497,0.335933838990941,,,1.31853003811463,0.0936343106724416,3.2151806247625,1.57531040792092,0.0695192591940447
,,,,,,,4.64766732842774,0.175580328643533,,,,,
12.5,5.1630933055305,0.0721822165220112,0.7,0.0724706193230163,4.4630933055305,0.102285204438824,,,1.20195278075616,0.0354929742811752,3.4862657849,1.49584209188849,0.0229180071839583
,,,,,,,4.813570592467,0.0723265543654933,,,,,
13.5,5.8640478794035,0.0721821872305423,0.7,0.0724706193230163,5.1640478794035,0.102285183767966,,,1.39246976704838,0.036381887590391,3.7557439382,1.64172074470816,0.0198071718459321
,,,,,,,5.27543351734992,0.0723265508792034,,,,,
14.5,6.08681915529634,0.0721822025489655,0.7,0.0724706193230163,5.38681915529634,0.102285194578108,,,1.47901562328898,0.0362377789094356,4.02784839365,1.6839550725569,0.0189880505785201
,,,,,,,5.19688174790591,0.072326557301338,,,,,
15.5,5.70694434051547,0.072182212970454,0.7,0.0724706193230163,5.00694434051547,0.102285201932506,,,1.33892394061217,0.0362822363578692,4.29883606655,1.61082581695198,0.0204286676615973
,,,,,,,4.65442293979616,0.0723265597502699,,,,,
