"Mid Depth zi cm","ln(Ci)","Age ti yr","Age Uncertainty u(ti) yr","CIC Age (CE)","ur(l)","ur(C0)","ur(Ci)","t(i) yr","u(t(i)) yr","delta t yr","Uncertainty delta t yr"," Sediment Accumulation Rate s cm/yr","Sediment Accumulation Rate Uncertainty u(s) cm/yr","Mass Accumualtion Rate r g/(cm^2 yr)","Mass Accumualtion Rate Uncertainty u(r) g/(cm^2 yr)","Mass Depth Section mi gcm^-2"
,,,,,,,,0,0,,,,,,,
0.5,2.41510915824143,4.19762473010797,2.69525203551152,2017.39666030622,0.00070653127601041,0.0835383873351209,0.00913995082642282,,,5.37036659976621,1.90676655273125,0.186207027290005,0.0661134253917702,0.0421021393418176,0.0149485048374357,0.11305196145
,,,,,,,,5.37036659976621,1.90676655273125,,,,,,,
1.5,2.34197531024519,6.54310846942445,2.6978975539352,2015.0511765669,0.00110131588057851,0.0835383873351209,0.00983344035669964,,,0.772891470760116,2.83154091355471,1.29384271638621,4.74008153246834,0.355403447433379,1.30204490578257,0.3634480695
,,,,,,,,6.14325807052632,2.09329053370994,,,,,,,
2.5,2.36691054880947,5.7434076716282,3.20137623883057,2015.85087736469,0.000966712703443377,0.0835383873351209,0.0546321519356103,,,-0.799087574395023,2.95993887616759,-1.25142729288099,4.63547227311094,-0.354806371147305,1.31425541470339,0.64255289735
,,,,,,,,5.3441704961313,2.0926951264168,,,,,,,
3.5,2.39180754589183,4.9449333206344,2.69604928478052,2016.64935171569,0.000832315958059536,0.0835383873351209,0.00935542709221381,,,-0.0722386955249377,2.83102470078407,-13.8429963710348,542.505154259533,-4.04706133846334,158.603786122117,0.9304907945
,,,,,,,,5.27193180060636,1.90665360365245,,,,,,,
4.5,2.37141545642354,5.59893028057833,2.69678143558539,2015.99535475574,0.000942394713623811,0.0835383873351209,0.00954816232117253,,,1.72284381729665,2.69747762953607,0.580435666866844,0.908795220459943,0.171588225312183,0.26865778233902,1.22447786695
,,,,,,,,6.99477561790301,1.9081555485669,,,,,,,
5.5,2.2843685594317,8.3906209552277,2.70029633166224,2013.2036640811,0.00141228349630583,0.0835383873351209,0.0104165473768741,,,1.6089969327867,2.69956716194766,0.621505224542628,1.04275841735032,0.183187442246712,0.307350992095373,1.51966173985
,,,,,,,,8.60377255068972,1.90960866785305,,,,,,,
6.5,2.27107612331597,8.81692414615173,2.7008925892322,2012.77736089017,0.00148403753741639,0.0835383873351209,0.0105559331417802,,,2.33032822005909,2.70247093891019,0.429124099941013,0.497653248711538,0.124061539834363,0.143873598213694,1.81158780985
,,,,,,,,10.9341007707488,1.91226146520674,,,,,,,
7.5,2.13904598313721,13.0512773953459,2.70779520397854,2008.54300764098,0.00219675084472412,0.0835383873351209,0.0120458269572641,,,7.4060030480205,2.71302415202851,0.13502559930316,0.0494636188611226,0.0381741303597716,0.0139842418342546,2.0974987264
,,,,,,,,18.3401038187693,1.92451452012589,,,,,,,
8.5,1.8092272585428,23.6289302421927,2.73548344648847,1997.96535479413,0.00397714881824321,0.0835383873351209,0.0167523258819687,,,6.52818038960891,2.89645976976783,0.153182041597951,0.0679646692431469,0.0434295281501841,0.0192690571644182,2.3806154863
,,,,,,,,24.8682842083782,2.16465310378086,,,,,,,
9.5,1.73193938563436,26.1076381745637,3.35559570759351,1995.48664686176,0.004394357308977,0.0835383873351209,0.0628445246489119,,,2.48936054952398,3.19691089502562,0.401709587705655,0.515887406433765,0.112464297057546,0.144429996945769,2.6623554754625
,,,,,,,,27.3576447579022,2.35255525142884,,,,,,,
10.5,1.65398720039618,28.6076513412407,3.29818772832622,1992.98663369508,0.00481515183118044,0.0835383873351209,0.0597844775043663,,,2.51163264615534,3.36129552076724,0.398147396885743,0.53283710251408,0.110052947063384,0.147282875374963,2.94054385495
,,,,,,,,29.8692774040575,2.40078973817044,,,,,,,
