"Top of Interval z(i) (cm)","Mid Depth zi (cm)","Inventory delta Ai dpm/cm^2","Inventory Uncertainty u(delta Ai) dpm/cm^2","Inventory Below A(i) dpm/cm^2","Inventory Below Uncertainty u(A(i)) dpm/cm^2","Age t(i) yr","Age Uncertainty u(t(i)) yr","Year CE","Mass Accumulation Rate r(i) g/(cm^2 yr)","Mass Accumulation Rate Uncertainty u(r(i)) g/(cm^2 yr)","Dry Bulk Density Section ri g/cm^3","Dry Bulk Density Section Uncertainty u(ri) g/cm^3","Dry Bulk Density Layer r(i) g/cm^3","Dry Bulk Density Layer Uncertainty u(r(i)) g/cm^3","Sediment Accumulation Rate s(i) cm/yr","Sediment Accumulation Rate Uncertainty U(s(i)) cm/yr"
0,,,,46.2795931402333,0.351075636276444,0,0,2021.59428503632,0.113126500308006,0.00950891910073706,,,0.230831271065372,0.016017764128069,0.490083080103859,0.053418045462807
,0.5,2.53032716518185,0.0589565290518197,,,,,,,,0.2261039229,0.00484595921113976,,,,
1,,,,43.7492659750515,0.346089916162075,1.8032391274556,0.0442310309499463,2019.79104590887,0.126351007806169,0.00147673065471832,,,0.25039610805,0.00324619275619757,0.504604519575594,0.00880776339757807
,1.5,2.85724252255184,0.0530019150014193,,,,,,,,0.2746882932,0.00432061904887806,,,,
2,,,,40.8920234524996,0.342007349446257,3.96931606410082,0.0667266124062615,2017.62496897222,0.121051248900918,0.00360634118309934,,,0.27910482785,0.00268276984963009,0.433712486571441,0.0135769751531122
,2.5,3.02358357722231,0.168633117743483,,,,,,,,0.2835213625,0.00318139392386561,,,,
3,,,,37.8684398752773,0.297543103894825,6.43292175192683,0.141343602632273,2015.1613632844,0.109342061435399,0.00317094409417201,,,0.28793789715,0.00282571174788394,0.379741821127624,0.0116260545717924
,3.5,3.19638070698818,0.0591791213974,,,,,,,,0.2923544318,0.00467090143652252,,,,
4,,,,34.6720591682891,0.291598577270189,9.26107714850891,0.159475015354584,2012.33320788781,0.0998900720473562,0.00120088393963126,,,0.29398707245,0.00329177675057779,0.339777090247208,0.0055821031031425
,4.5,3.16683939019242,0.0581771746404393,,,,,,,,0.2956197131,0.00463959658514291,,,,
5,,,,31.5052197780967,0.285736148600163,12.3328773846607,0.181759363918629,2009.26140765166,0.0956900206348817,0.00121428537544505,,,0.2951838729,0.00332469376101489,0.324170896244385,0.00550029833420577
,5.5,2.89427354560438,0.055647089504974,,,,,,,,0.2947480327,0.00476324447674645,,,,
6,,,,28.6109462324923,0.280265138835496,15.4233733907693,0.206848528369186,2006.17091164555,0.0914547745711227,0.00122723893949538,,,0.29192607,0.00340090992136645,0.31328060070525,0.00556716384965267
,6.5,2.80136752699573,0.0555705343253099,,,,,,,,0.2891041073,0.00485553861355663,,,,
7,,,,25.8095787054966,0.274700680307274,18.728098964073,0.236574649742046,2002.86618607225,0.0885269348214105,0.00126974275830675,,,0.28591091655,0.00344212651559253,0.309631181242179,0.00579815502957792
,7.5,2.40065032330628,0.0505320521799421,,,,,,,,0.2827177258,0.00488023406914475,,,,
8,,,,23.4089283821903,0.270012917216497,21.8591433399398,0.267436338761676,1999.73514169638,0.100007396964896,0.00161377904941702,,,0.2831167599,0.00345463740260193,0.353237289803048,0.00714624956039139
,8.5,1.73107016878981,0.0416263804217817,,,,,,,,0.283515794,0.00489095019031923,,,,
9,,,,21.6778582134005,0.266784969435581,24.3230424587155,0.293720366062032,1997.27124257761,0.114980344686751,0.00393098295647395,,,0.2817399891625,0.0031204564491801,0.408108004222409,0.0146664181111197
,9.5,1.58224668335688,0.101820517183857,,,,,,,,0.279964184325,0.00387654485859961,,,,
10,,,,20.0956115300436,0.246590353009107,26.753709422603,0.316894089238308,1994.84057561372,0.11518947959555,0.00524179427222193,,,0.2781883794875,0.00261224102426001,0.41407006219225,0.0192395919417683
,10.5,1.44502483268361,0.0883091831803664,,,,,,,,0.27641257465,0.00350251518691538,,,,
11,,,,18.65058669736,0.23023529347859,29.1469793572845,0.338163221091234,1992.44730567904,0.11561374781913,0.00549841731990186,,,0.2746367698125,0.00264145055699846,0.420969660756138,0.0204259978699116
,11.5,1.31853003811463,0.0936343106724416,,,,,,,,0.272860964975,0.00395492497345994,,,,
12,,,,17.3320566592454,0.21033522346024,31.4984277772192,0.355133835839047,1990.0958572591,0.116278939964919,0.00465639061355777,,,0.2710851601375,0.0031933715850103,0.428938787744558,0.0179046353087982
,12.5,1.20195278075616,0.0354929742811752,,,,,,,,0.2693093553,0.00501488352547771,,,,
13,,,,16.1301038784892,0.207318969235198,33.8033926421695,0.379419576403855,1987.79089239415,0.104485449970122,0.00214158067623083,,,0.2694781533,0.00340068365986018,0.387732544143578,0.00933265531199122
,13.5,1.39246976704838,0.036381887590391,,,,,,,,0.2696469513,0.00459451201365851,,,,
14,,,,14.7376341114409,0.204101722824932,36.6988676559895,0.412390684570065,1984.89541738033,0.0871075129630742,0.00176142674691845,,,0.27210445545,0.00312986351340521,0.320125272550271,0.00744734669702348
