"Top of Interval z(i) (cm)","Mid Depth zi (cm)","Mass Depth Section mi gcm^-2","Cumulative Mass Depth Layer m(i) gcm^-2","CF Age (CE)","CFCS Age (CE)"
0,,,0,2021.59428503632,
,0.5,0.11305196145,,,2021.59428503632
1,,,0.2261039229,2019.79104590887,
,1.5,0.3634480695,,,2019.37054562475
2,,,0.5007922161,2017.62496897222,
,2.5,0.64255289735,,,2017.14680621318
3,,,0.7843135786,2015.1613632844,
,3.5,0.9304907945,,,2014.9230668016
4,,,1.0766680104,2012.33320788781,
,4.5,1.22447786695,,,2012.69932739003
5,,,1.3722877235,2009.26140765166,
,5.5,1.51966173985,,,2010.47558797846
6,,,1.6670357562,2006.17091164555,
,6.5,1.81158780985,,,2008.25184856688
7,,,1.9561398635,2002.86618607225,
,7.5,2.0974987264,,,2006.02810915531
8,,,2.2388575893,1999.73514169638,
,8.5,2.3806154863,,,2003.80436974374
9,,,2.5223733833,1997.27124257761,
,9.5,2.6623554754625,,,2001.58063033217
10,,,2.802337567625,1994.84057561372,
,10.5,2.94054385495,,,1999.35689092059
11,,,3.078750142275,1992.44730567904,
,11.5,3.2151806247625,,,1997.13315150902
12,,,3.35161110725,1990.0958572591,
,12.5,3.4862657849,,,1994.90941209745
13,,,3.62092046255,1987.79089239415,
,13.5,3.7557439382,,,1992.68567268587
14,,,3.89056741385,1984.89541738033,
,14.5,4.02784839365,,,1990.4619332743
15,,,4.16512937345,1981.50368661676,
,15.5,4.29883606655,,,1988.23819386273
16,,,4.43254275965,1978.08953224906,
,16.5,4.5676324342,,,1986.01445445115
17,,,4.70272210875,1974.79912432703,
,17.5,4.83844505435,,,1983.79071503958
18,,,4.97416799995,1971.88678698548,
,18.5,5.11012795555,,,1981.56697562801
19,,,5.24608791115,1968.80131263672,
,19.5,5.38006682725,,,1979.34323621643
20,,,5.51404574335,1965.48479610803,
,20.5,5.6768159043,,,1977.11949680486
21,,,5.83958606525,1962.25343084889,
,21.5,6.00279514145,,,1974.89575739329
22,,,6.16600421765,1958.79141381785,
,22.5,6.3324475641,,,1972.67201798172
23,,,6.49889091055,1954.39886859735,
,23.5,6.66442745005,,,1970.44827857014
24,,,6.82996398955,1948.44733431618,
,24.5,6.99043522293333,,,1968.22453915857
25,,,7.15090645631667,1942.20539539566,
,25.5,7.30631238358333,,,1966.000799747
26,,,7.46171831085,1935.6182241407,
,26.5,7.612058932,,,1963.77706033542
27,,,7.76239955315,1928.61300023837,
,27.5,7.9182621385,,,1954.84371248269
28,,,8.07412472385,1919.74787929549,
,28.5,8.22589660585,,,1945.91036462996
29,,,8.37766848785,1912.61262758661,
,29.5,8.54113471495,,,1936.97701677723
30,,,8.70460094205,1903.86205731954,
,30.5,8.87043892575,,,1928.0436689245
31,,,9.03627690945,1892.78274300603,
,31.5,9.18695336835,,,1919.11032107178
32,,,9.33762982725,1884.03332034786,
,32.5,9.4898235377,,,1910.17697321905
33,,,9.64201724815,1873.87368215856,
,33.5,9.78848682875,,,1901.24362536632
34,,,9.93495640935,1865.94768442248,
,34.5,10.0867337012,,,1892.31027751359
35,,,10.23851099305,,
