"Top of Interval z(i) (cm)","Mid Depth zi (cm)","Interval Thickness delta zi (cm)","Dry Bulk Density DBD gcm^-3","Dry Bulk Density Uncertainty u(DBD) gcm^-3","Aerial Dry Mass delta mi/S gcm^-2","Aerial Dry Mass Uncertainty u(delta mi/S) gcm^-2","Cumulative Mass Depth Layer m(i) gcm^-2","Cumulative Mass Depth Layer Uncertainty u(m(i)) gcm^-2","Mass Depth Section mi gcm^-2","Mass Depth Section Uncertainty u(mi) gcm^-2"
0,,,,,,,0,0,,
,0.5,1,0.2261039229,0.00484595921113976,0.2261039229,0.00484595921113976,,,0.11305196145,0.00242297960556988
1,,,,,,,0.2261039229,0.00484595921113976,,
,1.5,1,0.2746882932,0.00432061904887806,0.2746882932,0.00432061904887806,,,0.3634480695,0.00405075271763127
2,,,,,,,0.5007922161,0.00649238551239514,,
,2.5,1,0.2835213625,0.00318139392386561,0.2835213625,0.00318139392386561,,,0.64255289735,0.00485858535434764
3,,,,,,,0.7843135786,0.00722996106077808,,
,3.5,1,0.2923544318,0.00467090143652252,0.2923544318,0.00467090143652252,,,0.9304907945,0.00562054254744243
4,,,,,,,1.0766680104,0.00860753490670096,,
,4.5,1,0.2956197131,0.00463959658514291,0.2956197131,0.00463959658514291,,,1.22447786695,0.00651354686044824
5,,,,,,,1.3722877235,0.00977831854885824,,
,5.5,1,0.2947480327,0.00476324447674645,0.2947480327,0.00476324447674645,,,1.51966173985,0.00731299400435871
6,,,,,,,1.6670357562,0.0108767647574176,,
,6.5,1,0.2891041073,0.00485553861355663,0.2891041073,0.00485553861355663,,,1.81158780985,0.00806511435759191
7,,,,,,,1.9561398635,0.0119113503355388,,
,7.5,1,0.2827177258,0.00488023406914475,0.2827177258,0.00488023406914475,,,2.0974987264,0.00876893976204537
8,,,,,,,2.2388575893,0.012872332787245,,
,8.5,1,0.283515794,0.00489095019031923,0.283515794,0.00489095019031923,,,2.3806154863,0.0094249044628493
9,,,,,,,2.5223733833,0.0137701977164369,,
,9.5,1,0.279964184325,0.00387654485859961,0.279964184325,0.00387654485859961,,,2.6623554754625,0.00992804475136299
10,,,,,,,2.802337567625,0.0143054515898835,,
,10.5,1,0.27641257465,0.00350251518691538,0.27641257465,0.00350251518691538,,,2.94054385495,0.010265957127998
11,,,,,,,3.078750142275,0.0147279855318055,,
,11.5,1,0.272860964975,0.00395492497345994,0.272860964975,0.00395492497345994,,,3.2151806247625,0.0106003366361149
12,,,,,,,3.35161110725,0.0152497537478731,,
,12.5,1,0.2693093553,0.00501488352547771,0.2693093553,0.00501488352547771,,,3.4862657849,0.0110708969319975
13,,,,,,,3.62092046255,0.0160531631196122,,
,13.5,1,0.2696469513,0.00459451201365851,0.2696469513,0.00459451201365851,,,3.7557439382,0.01158142513827
14,,,,,,,3.89056741385,0.0166977120225656,,
,14.5,1,0.2745619596,0.00425142820785304,0.2745619596,0.00425142820785304,,,4.02784839365,0.0119968935081502
15,,,,,,,4.16512937345,0.017230444817098,,
,15.5,1,0.2674133862,0.00476096618222665,0.2674133862,0.00476096618222665,,,4.29883606655,0.0124141376681832
16,,,,,,,4.43254275965,0.0178761021361863,,
,16.5,1,0.2701793491,0.00506584324550184,0.2701793491,0.00506584324550184,,,4.5676324342,0.0128915943831119
17,,,,,,,4.70272210875,0.0185800375503216,,
,17.5,1,0.2714458912,0.00507364739663284,0.2714458912,0.00507364739663284,,,4.83844505435,0.0133807463230576
18,,,,,,,4.97416799995,0.0192603139454351,,
,18.5,1,0.2719199112,0.00488024829301431,0.2719199112,0.00488024829301431,,,5.11012795555,0.0138359695174833
19,,,,,,,5.24608791115,0.0198689837857448,,
,19.5,1,0.2679578322,0.00477484530653728,0.2679578322,0.00477484530653728,,,5.38006682725,0.0142508962968802
20,,,,,,,5.51404574335,0.0204346681984208,,
,20.5,1,0.3255403219,0.00480194960944216,0.3255403219,0.00480194960944216,,,5.6768159043,0.0146476111432097
21,,,,,,,5.83958606525,0.0209912930623907,,
,21.5,1,0.3264181524,0.00472711262170807,0.3264181524,0.00472711262170807,,,6.00279514145,0.0150300895090536
22,,,,,,,6.16600421765,0.0215169695396328,,
,22.5,1,0.3328866929,0.00469383778805108,0.3328866929,0.00469383778805108,,,6.3324475641,0.0153947399256979
23,,,,,,,6.49889091055,0.0220229900637952,,
,23.5,1,0.331073079,0.00455467355965867,0.331073079,0.00455467355965867,,,6.66442745005,0.0157382435005871
24,,,,,,,6.82996398955,0.0224890449460415,,
,24.5,1,0.320942466766667,0.00345091254630367,0.320942466766667,0.00345091254630367,,,6.99043522293333,0.0159954921975879
25,,,,,,,7.15090645631667,0.0227522732927352,,
