"Mid Depth zi cm","ln(Ci)","Age ti yr","Age Uncertainty u(ti) yr","CIC Age (CE)","ur(l)","ur(C0)","ur(Ci)","t(i) yr","u(t(i)) yr","delta t yr","Uncertainty delta t yr"," Sediment Accumulation Rate s cm/yr","Sediment Accumulation Rate Uncertainty u(s) cm/yr","Mass Accumualtion Rate r g/(cm^2 yr)","Mass Accumualtion Rate Uncertainty u(r) g/(cm^2 yr)","Mass Depth Section mi gcm^-2"
,,,,,,,,0,0,,,,,,,
0.5,2.44032696259363,4.03827482892567,2.61963378022789,2017.5560102074,0.000679709991056821,0.0803870376479247,0.0144712810625706,,,5.18074666814101,1.85463198259343,0.193022369950937,0.0690992020259203,0.043643115053362,0.0156236006473202,0.11305196145
,,,,,,,,5.18074666814101,1.85463198259343,,,,,,,
1.5,2.36908079667179,6.32321850735634,2.62605369726565,2015.27106652897,0.00106430467889401,0.0803870376479247,0.0155399206202557,,,0.75318528065847,2.75605877413791,1.32769456026245,4.85830556724032,0.364702152649418,1.3345196641093,0.3634480695
,,,,,,,,5.93393194879948,2.03867608404183,,,,,,,
2.5,2.39335725915434,5.54464539024261,3.11907721636608,2016.04963964608,0.000933257647949055,0.0803870376479247,0.0547320414144126,,,-0.778228961353422,2.8821052428827,-1.28496888404268,4.75877375624766,-0.364316128773885,1.34921401920058,0.64255289735
,,,,,,,,5.15570298744605,2.03723598422172,,,,,,,
3.5,2.41761225959507,4.76676058464949,2.62157951242706,2016.82752445167,0.00080232647148091,0.0803870376479247,0.0148037535975887,,,-0.070357391456989,2.75481423432475,-14.2131477488235,556.509855214798,-4.15527673419675,162.698122512423,0.9304907945
,,,,,,,,5.08534559598907,1.85436539285828,,,,,,,
4.5,2.39774484597575,5.40393060732864,2.62335756254164,2016.19035442899,0.000909572968751165,0.0803870376479247,0.0151008070026934,,,1.67657740242491,2.62502630243394,0.596453225812093,0.933870040037375,0.17632333149214,0.276070393308534,1.22447786695
,,,,,,,,6.76192299841398,1.8579806452812,,,,,,,
5.5,2.31305851245325,8.11991538949932,2.63179851280713,2013.47436964682,0.00136671916860275,0.0803870376479247,0.0164353504632636,,,1.56507647206034,2.63004589041831,0.638946414345844,1.07372286354517,0.188328198629157,0.31647770169495,1.51966173985
,,,,,,,,8.32699947047432,1.8614642912145,,,,,,,
6.5,2.3001444551553,8.53408355144932,2.63321738902298,2013.06020148487,0.00143643067898303,0.0803870376479247,0.0166489740081915,,,2.25954806068793,2.63692876865014,0.44256637749743,0.516482049293056,0.127947757487389,0.149317081797344,1.81158780985
,,,,,,,,10.5865475311623,1.867710904682,,,,,,,
7.5,2.17214988738752,12.6390115108752,2.64944188009838,2008.95527352545,0.00212735951983474,0.0803870376479247,0.0189223390709775,,,7.13856521424091,2.66125869107414,0.140084172377535,0.052223410451996,0.039604278635152,0.0147644838365083,2.0974987264
,,,,,,,,17.7251127454032,1.89577261224799,,,,,,,
8.5,1.85497339339242,22.8112139799311,2.71224499508786,1998.78307105639,0.00383951333357346,0.0803870376479247,0.0259850069237218,,,6.26794222051415,2.85634076355899,0.159541993978045,0.0727042919137808,0.0452326750990285,0.0206128150491433,2.3806154863
,,,,,,,,23.9930549659173,2.13652258593706,,,,,,,
9.5,1.78127211158347,25.1748959519035,3.30191491827055,1996.41938908442,0.00423736100865552,0.0803870376479247,0.0641865827791113,,,2.36939216543834,3.15449827082407,0.422049171338844,0.561896591290878,0.118158651998922,0.157310920855748,2.6623554754625
,,,,,,,,26.3624471313556,2.32080386513226,,,,,,,
10.5,1.70721473400291,27.5499983108078,3.26218947857935,1994.04428672552,0.00463713092811873,0.0803870376479247,0.0621518088281317,,,2.38128240139003,3.31813314931139,0.419941792462862,0.5851564608796,0.116077192057796,0.161744603924812,2.94054385495
,,,,,,,,28.7437295327457,2.37147148752548,,,,,,,
11.5,1.63277196019881,29.9374607546836,3.44290979702218,1991.65682428164,0.00503898125904506,0.0803870376479247,0.0709722799089251,,,2.39415616235417,3.25131774285667,0.417683698216536,0.567223826192721,0.113969576949691,0.154773240571757,3.2151806247625
,,,,,,,,31.1378856950999,2.22422796692881,,,,,,,
12.5,1.55791175660696,32.3383106355162,2.8169366916993,1989.25597440081,0.00544308492215896,0.0803870376479247,0.0349731842969974,,,-1.00728736621869,2.97272872196129,-0.992765355286796,2.92987104256843,-0.267360997796462,0.789041681586242,3.4862657849
,,,,,,,,30.1305983288812,1.97228953389336,,,,,,,
13.5,1.69558783045595,27.9228860222462,2.76126269974072,1993.67139901408,0.00469989424011312,0.0803870376479247,0.0304749627908599,,,-2.85014863780319,2.77187889823247,-0.350858894422702,0.341223735775782,-0.0946080312175703,0.0920099400631365,3.7557439382
,,,,,,,,27.280449691078,1.94766183434424,,,,,,,
14.5,1.73565107216882,26.6380133599098,2.74753976984233,1994.95627167641,0.00448362842789791,0.0803870376479247,0.0292781719214344,,,0.46905285519788,2.75709066055991,2.13195589562743,12.5316275626982,0.585353988484241,3.44070822059179,4.02784839365
,,,,,,,,27.7495025462758,1.95145132903322,,,,,,,
15.5,1.66633702846639,28.8609917326419,2.77194415013666,1992.73329330368,0.00485779330618364,0.0803870376479247,0.0313795473918111,,,3.40389569290108,2.78134574949203,0.293781035090332,0.240050432489445,0.0785609813948467,0.064192699010777,4.29883606655
,,,,,,,,31.1533982391769,1.98184809928305,,,,,,,
16.5,1.52337930406675,33.4458047457119,2.83323369721781,1988.14848029061,0.00562949492237603,0.0803870376479247,0.0362019884381493,,,5.62854723701365,2.84935197574863,0.1776657382253,0.0899401214768325,0.0480016135110825,0.0242999634785855,4.5676324342
,,,,,,,,36.7819454761906,2.04721390994464,,,,,,,
17.5,1.31533283161668,40.1180862066692,2.95586298553109,1981.47619882965,0.00675255280334804,0.0803870376479247,0.0445744486465565,,,3.88997026707624,2.93203726359599,0.257071373646158,0.193765709037377,0.0697809681213895,0.0525969055736507,4.83844505435
,,,,,,,,40.6719157432668,2.09898969079046,,,,,,,
18.5,1.28079523541304,41.2257452798644,2.98092349766742,1980.36853975646,0.00693899056962949,0.0803870376479247,0.0461408405091549,,,0.743603251132498,2.97691976433931,1.34480315743243,5.38374609364525,0.365678755150505,1.46394775970737,5.11012795555
,,,,,,,,41.4155189943993,2.11099350100122,,,,,,,
19.5,1.26896067714275,41.6052927089342,2.98986109144418,1979.98899232739,0.00700287482479974,0.0803870376479247,0.0466901421024711,,,4.88217299588106,3.06237623768657,0.204826826260288,0.128479020737172,0.0548849523411129,0.0344269598799114,5.38006682725
,,,,,,,,46.2976919902804,2.21852533451344,,,,,,,
20.5,0.976335995907792,50.9900912716265,3.27843701988923,1970.6041937647,0.0085824952363245,0.0803870376479247,0.0625620477155213,,,5.23553760413111,3.21982700720203,0.191002352692673,0.117465402818181,0.06217896737923,0.0382397250455438,5.6768159043
,,,,,,,,51.5332295944115,2.33354479203413,,,,,,,
21.5,0.942465118976397,52.0763679171964,3.32168268989351,1969.51791711913,0.00876533397819437,0.0803870376479247,0.0647173868812708,,,-0.835929242096398,3.28481261422894,-1.19627349976672,4.70079772810289,-0.390485385558934,1.53442570921346,6.00279514145
,,,,,,,,50.6973003523151,2.3118310089987,,,,,,,
22.5,1.02846573025837,49.3182327874337,3.21631381620849,1972.27605224889,0.00830109316155752,0.0803870376479247,0.0593842400372774,,,-3.53389240535296,3.20939756168583,-0.282974093519444,0.25699038385716,-0.0941983101680629,0.0855486789893116,6.3324475641
,,,,,,,,47.1634079469621,2.22613344047184,,,,,,,
23.5,1.16284366663025,45.0085831064905,3.07863700601651,1976.58570192983,0.00757570619058922,0.0803870376479247,0.0519172192104076,,,-0.538743042005834,3.25892924022276,-1.85617246447736,11.2282373000302,-0.614528732969539,3.71736709466364,6.66442745005
,,,,,,,,46.6246649049563,2.38011547996981,,,,,,,
24.5,1.06206251124017,48.240746703422,3.63067390124112,1973.3535383329,0.00811973401995539,0.0803870376479247,0.079295753893338,,,3.25284472814299,3.5467534419054,0.307423219850672,0.335200249090733,0.0986651665202258,0.107579994803981,6.99043522293333
,,,,,,,,49.8775096330993,2.62954564129924,,,,,,,
25.5,0.959991651145628,51.5142725627765,3.80476650289475,1970.08001247355,0.00867072381803658,0.0803870376479247,0.0868163693723002,,,3.29673957280855,3.6737204775996,0.30332999556531,0.338015664133623,0.0942785584572418,0.105059275430688,7.30631238358333
,,,,,,,,53.1742492059078,2.56548472376251,,,,,,,
26.5,0.856473150922342,54.8342258490391,3.44246994611213,1966.76005918728,0.00922952813773044,0.0803870376479247,0.0705289103827925,,,2.31792052844374,3.55210732436131,0.431421175889669,0.661133244197617,0.129720255121032,0.198790365191169,7.612058932
,,,,,,,,55.4921697343516,2.45677727438253,,,,,,,
27.5,0.815442836116137,56.150113619664,3.50605461648909,1965.44417141666,0.00945101431752101,0.0803870376479247,0.0734829434388998,,,6.64406879221912,3.70591706458683,0.150510181527786,0.083951305677494,0.0469178120288373,0.0261697350928048,7.9182621385
,,,,,,,,62.1362385265707,2.77453900921819,,,,,,,
28.5,0.44213958809976,68.1223634334774,4.30114494999753,1953.47192160285,0.0114661465605244,0.0803870376479247,0.106736507958568,,,7.49805197427132,4.19034772119569,0.133367973899272,0.0745337838983985,0.0404830167944388,0.0226242653096825,8.22589660585
,,,,,,,,69.634290500842,3.14021453261659,,,,,,,
29.5,0.347853669615184,71.1462175682066,4.57645510876448,1950.44806746812,0.0119751123823035,0.0803870376479247,0.117290189851777,,,2.59955019450481,4.56612883415415,0.384681935403247,0.675696618952028,0.125765009227789,0.220907153928629,8.54113471495
,,,,,,,,72.2338406953468,3.31490350074289,,,,,,,
30.5,0.280027947250001,73.321463822487,4.79691562510884,1948.27282121384,0.0123412431373112,0.0803870376479247,0.125527574894384,,,6.46062413192026,5.13548091050514,0.15478380719585,0.123035990158018,0.0513380689895387,0.0408080810606776,8.87043892575
,,,,,,,,78.6944648272671,3.92231805988821,,,,,,,
31.5,-0.0550400237449663,84.0674658320471,6.20708597791971,1937.52681920428,0.0141499771237888,0.0803870376479247,0.175487764093167,,,7.05913488010106,6.0420789547272,0.141660418306908,0.121250471439889,0.0426897803935551,0.0365391833530361,9.18695336835
,,,,,,,,85.7535997073681,4.59588284579058,,,,,,,
32.5,-0.160189726104422,87.4397335826891,6.77942771859401,1934.15455145363,0.0147175868531246,0.0803870376479247,0.194951113137799,,,6.48992002042135,7.22064332408925,0.15408510379995,0.171434096659712,0.0469015673447756,0.0521823825365708,9.4898235377
,,,,,,,,92.2435197277895,5.56916069811983,,,,,,,
33.5,-0.459760650304985,97.0473058728899,8.83750888736693,1924.54697916343,0.0163347038528577,0.0803870376479247,0.263067111898383,,,7.32935120669094,8.75581203618089,0.136437724404188,0.162991653127053,0.0399679525429995,0.0477466381496402,9.78848682875
,,,,,,,,99.5728709344804,6.75638168929551,,,,,,,
34.5,-0.617258473225561,102.098435996071,10.2221920736944,1919.49584904025,0.0171848945298919,0.0803870376479247,0.307952487748291,,,5.05113012318117,9.55496661757095,0.19797549768332,0.374500205959804,0.0600963697820605,0.113681254115693,10.0867337012
,,,,,,,,104.624001057662,6.75638168929551,,,,,,,
