"Top of Interval z(i) (cm)","Mid Depth zi (cm)","Inventory delta Ai dpm/cm^2","Inventory Uncertainty u(delta Ai) dpm/cm^2","Inventory Below A(i) dpm/cm^2","Inventory Below Uncertainty u(A(i)) dpm/cm^2","Age t(i) yr","Age Uncertainty u(t(i)) yr","Year CE","Mass Accumulation Rate r(i) g/(cm^2 yr)","Mass Accumulation Rate Uncertainty u(r(i)) g/(cm^2 yr)","Dry Bulk Density Section ri g/cm^3","Dry Bulk Density Section Uncertainty u(ri) g/cm^3","Dry Bulk Density Layer r(i) g/cm^3","Dry Bulk Density Layer Uncertainty u(r(i)) g/cm^3","Sediment Accumulation Rate s(i) cm/yr","Sediment Accumulation Rate Uncertainty U(s(i)) cm/yr"
0,,,,49.7830680649707,0.487786946342617,0,0,2021.59428503632,0.11925109588172,0.00967862135754614,,,0.230831271065372,0.016017764128069,0.516615861149714,0.0551653414209072
,0.5,2.5949478317201,0.0671067530094427,,,,,,,,0.2261039229,0.00484595921113976,,,,
1,,,,47.1881202332506,0.483148826680543,1.71685496563192,0.0474110336048004,2019.87743007069,0.132768041119897,0.00208353181691641,,,0.25039610805,0.00324619275619757,0.53023204774966,0.0107930840995157
,1.5,2.93574863765666,0.0649123130541664,,,,,,,,0.2746882932,0.00432061904887806,,,,
2,,,,44.252371595594,0.478768399475929,3.77688521491985,0.0742918395793819,2017.8173998214,0.127538196661262,0.00397685306056606,,,0.27910482785,0.00268276984963009,0.456954462750481,0.014910219160582
,2.5,3.10461418999362,0.173456193866279,,,,,,,,0.2835213625,0.00318139392386561,,,,
3,,,,41.1477574056003,0.446242231468702,6.10972298831415,0.144332057057017,2015.48456204801,0.115747461555303,0.00353687785548208,,,0.28793789715,0.00282571174788394,0.401987590730388,0.0129014104615228
,3.5,3.27993581742597,0.0714401868036149,,,,,,,,0.2923544318,0.00467090143652252,,,,
4,,,,37.8678215881744,0.440486581924616,8.7737967404364,0.168635853300721,2012.82048829589,0.106290238991309,0.00176650179080987,,,0.29398707245,0.00329177675057779,0.3615473228313,0.00724525271526976
,4.5,3.25132772041399,0.0708126159310132,,,,,,,,0.2956197131,0.00463959658514291,,,,
5,,,,34.6164938677604,0.434757406240122,11.6528667596368,0.198288429139198,2009.94141827669,0.102292056098003,0.00180320269694891,,,0.2951838729,0.00332469376101489,0.346536736892319,0.00724919621571314
,5.5,2.97851274893008,0.0686532065998904,,,,,,,,0.2947480327,0.00476324447674645,,,,
6,,,,31.6379811188303,0.429302619959616,14.5383667121779,0.231468210982795,2007.05591832415,0.0982520025906774,0.00183831937699924,,,0.29192607,0.00340090992136645,0.336564674030919,0.00741812972675025
,6.5,2.88399369231412,0.0682029108176002,,,,,,,,0.2891041073,0.00485553861355663,,,,
7,,,,28.7539874265162,0.42385033025845,17.6037838448782,0.27036690980419,2003.99050119144,0.0956200455958834,0.00192027229952062,,,0.28591091655,0.00344212651559253,0.334439995330368,0.00783075993535506
,7.5,2.48145125612095,0.0635574589878213,,,,,,,,0.2827177258,0.00488023406914475,,,,
8,,,,26.2725361703952,0.419057933783873,20.4982756503223,0.310600778150821,2001.096009386,0.108011680691491,0.00247090277691471,,,0.2831167599,0.00345463740260193,0.381509313435356,0.00989144019201935
,8.5,1.81209919007974,0.0565194848741951,,,,,,,,0.283515794,0.00489095019031923,,,,
9,,,,24.4604369803155,0.415228972612418,22.7903064148795,0.344986414443289,1998.80397862144,0.12372421819001,0.00471822326984053,,,0.2817399891625,0.0031204564491801,0.439143263112177,0.0174387356630072
,9.5,1.66226065200403,0.109149216847509,,,,,,,,0.279964184325,0.00387654485859961,,,,
10,,,,22.7981763283115,0.40062644465679,25.0473572747028,0.379130717261845,1996.54692776162,0.124157553211468,0.00600738237064189,,,0.2781883794875,0.00261224102426001,0.44630747495708,0.0219975658509072
,10.5,1.52402374868798,0.0966693677791037,,,,,,,,0.27641257465,0.00350251518691538,,,,
11,,,,21.2741525796235,0.388788607718293,27.2662838326115,0.412714470951435,1994.32800120371,0.124786786049483,0.00632526967281221,,,0.2746367698125,0.00264145055699846,0.454370280187453,0.0234423426461749
,11.5,1.39651390147623,0.101159565554471,,,,,,,,0.272860964975,0.00395492497345994,,,,
12,,,,19.8776386781473,0.375397554318564,29.4438297185459,0.444862659591641,1992.15045531778,0.125631478128808,0.00565255253331304,,,0.2710851601375,0.0031933715850103,0.463439157145619,0.0215543977545553
,12.5,1.27892159147498,0.0506729892960363,,,,,,,,0.2693093553,0.00501488352547771,,,,
13,,,,18.5987170866723,0.371961788284983,31.5766487327956,0.481462773085788,1990.01763630353,0.113724058266622,0.00352269067501423,,,0.2694781533,0.00340068365986018,0.422015873546594,0.014115473429108
,13.5,1.46953506295092,0.0513086768004823,,,,,,,,0.2696469513,0.00459451201365851,,,,
14,,,,17.1291820237214,0.36840601464844,34.2163912124003,0.530315053456402,1987.37789382392,0.0960398413764285,0.00294085712049243,,,0.27210445545,0.00312986351340521,0.352952108842173,0.0115451768088695
,14.5,1.55748563215852,0.0515849518060219,,,,,,,,0.2745619596,0.00425142820785304,,,,
15,,,,15.5716963915628,0.364776622573757,37.2736861871594,0.592084849121587,1984.32059884916,0.0885582102020759,0.00285140356371846,,,0.2709876729,0.00319145111175286,0.326797928682002,0.0112040517702311
